subj,subj_head,obj,obj_head,root,sent
,,button,release,release,Release both buttons.  
,,button,hold,press,5. Press and hold the newly-trained HomeLink® button  and observe the indicator light.
,,light,observe,press,5. Press and hold the newly-trained HomeLink® button  and observe the indicator light.
,,button,program,begin,"To program the remaining two HomeLink® buttons, begin with Step 2 under “Programming HomeLink®.”"
,,step,repeat,repeat,Do not repeat Step 1 as this will erase all of the programmed channels.
this,erase,all,erase,repeat,Do not repeat Step 1 as this will erase all of the programmed channels.
light,blink,programming,complete,continue,"If the indicator light blinks rapidly for two seconds and then turns to a constant light, continue with Steps 6 through 8 following to complete the programming of a rolling-code equipped device (most commonly, a garage door opener).  6. Locate in the garage, the garage door opener receiver (motor-head unit)."
light,blink,receiver,locate,continue,"If the indicator light blinks rapidly for two seconds and then turns to a constant light, continue with Steps 6 through 8 following to complete the programming of a rolling-code equipped device (most commonly, a garage door opener).  6. Locate in the garage, the garage door opener receiver (motor-head unit)."
,,learn,locate,locate,Locate the “Learn” or “Smart” button.
,,button,Smart,locate,Locate the “Learn” or “Smart” button.
,,button,release,press,7. Firmly press and release the “Learn” or “Smart” button.
you,have,second,have,have,You will have 30 seconds to start Step 8.
you,have,step,start,have,You will have 30 seconds to start Step 8.
,,button,hold,press,"Firmly press and hold the programmed HomeLink® button for two seconds, then release."
,,release,repeat,repeat,"Repeat the press/hold/release sequence a second time, and depending on the brand of the garage door opener (or other rolling code device), repeat this sequence a third time to complete the programming."
,,sequence,repeat,repeat,"Repeat the press/hold/release sequence a second time, and depending on the brand of the garage door opener (or other rolling code device), repeat this sequence a third time to complete the programming."
,,sequence,repeat,repeat,"Repeat the press/hold/release sequence a second time, and depending on the brand of the garage door opener (or other rolling code device), repeat this sequence a third time to complete the programming."
,,programming,complete,repeat,"Repeat the press/hold/release sequence a second time, and depending on the brand of the garage door opener (or other rolling code device), repeat this sequence a third time to complete the programming."
HomeLink,activate,device,activate,activate,HomeLink® should now activate your rolling-code equipped device.  
,,button,program,begin,"To program the remaining two HomeLink® buttons, begin with Step 2 of “Programming HomeLink®.”"
,,HomeLink,program,begin,"To program the remaining two HomeLink® buttons, begin with Step 2 of “Programming HomeLink®.”"
,,step,repeat,repeat,Do not repeat Step 1.  
law,require,signal,require,require,Canadian radio-frequency laws require transmitter signals to “time out” or quit after several seconds of transmission.
®,pick,signal,pick,be,This may not be long enough for HomeLink® to pick up the signal during programming.
you,have,difficulty,have,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,have,operator,program,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,have,®,Programming,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,have,procedure,use,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,live,step,replace,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,live,HomeLink,Programming,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,live,button,hold,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,press,second,release,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
you,press,transmitter,release,replace," If you live in Canada, or you are having difficulty programming a gate operator by using the “Programming HomeLink®” procedures (regardless of where you live), replace Step 3 under “Programming HomeLink®” with the following: Continue to press and hold the HomeLink® button while you press and release every two seconds (cycle) your hand-held transmitter until the frequency signal has been successfully accepted by HomeLink®."
,,HomeLink,Programming,proceed,Proceed with Step 4 under “Programming HomeLink®” to complete.
,,®,Programming,proceed,Proceed with Step 4 under “Programming HomeLink®” to complete.
,,HomeLink,use,press,Using HomeLink® Press and hold the appropriate HomeLink® button for at least half of a second.
,,button,hold,press,Using HomeLink® Press and hold the appropriate HomeLink® button for at least half of a second.
,,Buttons,erase,do,"Erasing HomeLink® Buttons  To erase programming from the three buttons do the following:  1. Press and hold down the two outside buttons until the indicator light begins to ﬂash, after 20 seconds.  2. Release both buttons."
,,programming,erase,do,"Erasing HomeLink® Buttons  To erase programming from the three buttons do the following:  1. Press and hold down the two outside buttons until the indicator light begins to ﬂash, after 20 seconds.  2. Release both buttons."
,,follow,do,do,"Erasing HomeLink® Buttons  To erase programming from the three buttons do the following:  1. Press and hold down the two outside buttons until the indicator light begins to ﬂash, after 20 seconds.  2. Release both buttons."
,,button,hold,do,"Erasing HomeLink® Buttons  To erase programming from the three buttons do the following:  1. Press and hold down the two outside buttons until the indicator light begins to ﬂash, after 20 seconds.  2. Release both buttons."
light,begin,button,release,do,"Erasing HomeLink® Buttons  To erase programming from the three buttons do the following:  1. Press and hold down the two outside buttons until the indicator light begins to ﬂash, after 20 seconds.  2. Release both buttons."
,,second,hold,hold,Do not hold for longer than  30 seconds.  
HomeLink,be,HomeLink,program,be,HomeLink® is now in the train (learning) mode and can be programmed at any time beginning with Step 2 under “Programming HomeLink®.”  
HomeLink,be,®,program,be,HomeLink® is now in the train (learning) mode and can be programmed at any time beginning with Step 2 under “Programming HomeLink®.”  
,,button,reprogramme,see,See “Reprogramming a Single HomeLink® Button” next.  
,,button,reprogramme,follow,"2-45  Reprogramming a Single HomeLink® Button To program a device to HomeLink® using a HomeLink® button previously trained, follow these steps:  "
,,device,program,follow,"2-45  Reprogramming a Single HomeLink® Button To program a device to HomeLink® using a HomeLink® button previously trained, follow these steps:  "
,,button,use,follow,"2-45  Reprogramming a Single HomeLink® Button To program a device to HomeLink® using a HomeLink® button previously trained, follow these steps:  "
,,step,follow,follow,"2-45  Reprogramming a Single HomeLink® Button To program a device to HomeLink® using a HomeLink® button previously trained, follow these steps:  "
,,button,hold,press,1. Press and hold the desired HomeLink® button.  
,,button,release,release,Do not release the button.  
,,button,hold,proceed,"While still holding the HomeLink® button, proceed with Step 2 under “Programming HomeLink®."
,,HomeLink,Programming,proceed,"While still holding the HomeLink® button, proceed with Step 2 under “Programming HomeLink®."
,,®,Programming,proceed,"While still holding the HomeLink® button, proceed with Step 2 under “Programming HomeLink®."
"""",do,default,reset,do,”  Resetting Defaults To reset HomeLink® to default settings do the following:  1. Hold down the two outside buttons for about  20 seconds until the indicator light begins to ﬂash.
"""",do,HomeLink,reset,do,”  Resetting Defaults To reset HomeLink® to default settings do the following:  1. Hold down the two outside buttons for about  20 seconds until the indicator light begins to ﬂash.
"""",do,follow,do,do,”  Resetting Defaults To reset HomeLink® to default settings do the following:  1. Hold down the two outside buttons for about  20 seconds until the indicator light begins to ﬂash.
"""",do,button,hold,do,”  Resetting Defaults To reset HomeLink® to default settings do the following:  1. Hold down the two outside buttons for about  20 seconds until the indicator light begins to ﬂash.
,,button,hold,continue,2. Continue to hold both buttons until the HomeLink®  indicator light turns off.  
,,button,release,release,3. Release both buttons.
,,HomeLink,contact,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
,,Box,contact,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
,,box,open,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
,,handle,pull,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
,,door,lower,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
,,Console,contact,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
vehicle,have,feature,have,contact," For questions or comments, contact HomeLink® at 1-800-355-3515, or on the internet at www.homelink.com.  2-46  Storage Areas  Glove Box To open your glove box, pull the handle on the front of the glove box and lower the door.  Overhead Console  Your vehicle may have this feature."
console,include,storage,include,include,"The overhead console may include sunglasses storage, a HomeLink® transmitter, a sunroof switch and a travel note recorder."
vehicle,have,seat,have,locate," If your vehicle has a third row seat, the rear quarter glass switches are also located in the overhead console."
driver,open,window,close,allow,These switches allow the driver to open and close each third row seat window separately.
,,compartment,open,press,"To open the sunglasses storage compartment in the overhead console, press the release button."
,,button,press,press,"To open the sunglasses storage compartment in the overhead console, press the release button."
,,compartment,pull,pull,Then pull the compartment down.
,,message,delete,press," c (Stop): To delete messages, press this button while the message is playing."
,,button,press,press," c (Stop): To delete messages, press this button while the message is playing."
you,press,button,hold,delete,"If you press and hold the play and record buttons at the same time for a half of a second, all of the messages will be deleted.  Travel Note Recorder  Front Storage Area  "
vehicle,have,compartment,have,squeeze,"If your vehicle has this console compartment, squeeze the front lever while lifting the top to open it."
vehicle,have,lever,squeeze,squeeze,"If your vehicle has this console compartment, squeeze the front lever while lifting the top to open it."
vehicle,have,top,lift,squeeze,"If your vehicle has this console compartment, squeeze the front lever while lifting the top to open it."
vehicle,have,it,open,squeeze,"If your vehicle has this console compartment, squeeze the front lever while lifting the top to open it."
you,store,cassette,store,store,You can store cassettes and compact discs in the slots in front of the compartment.
console,contain,one,contain,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
console,contain,outlet,contain,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
vehicle,have,compartment,have,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
vehicle,have,cover,lift,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
vehicle,have,area,expose,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
which,include,slot,include,contain," The console may also contain one or more of the following components:  (cid:127) Rear Seat Audio Controls (cid:127) Rear Seat Accessory Power Outlets (cid:127) Rear Climate Control  If your vehicle has the center armrest compartment, lift the cover to expose the storage area which includes slots for cassettes or compact discs.  "
vehicle,have,feature,have,have,Your vehicle may have this feature.
,,message,record,press,"O (Record): To record a message, press this button and begin speaking."
,,button,press,press,"O (Record): To record a message, press this button and begin speaking."
,,button,press,press,Press the button again to stop recording.
you,press,button,hold,press,You may also press and hold this button while you are speaking and then let it go when you are ﬁnished.
,,message,play,press,"To play a recorded message, press this button."
,,button,press,press,"To play a recorded message, press this button."
press,return,button,press,return,Pressing the button more than once will return you to previously recorded messages.
press,return,you,return,return,Pressing the button more than once will return you to previously recorded messages.
you,press,button,hold,play,"If you press and hold this button for more than one second, all of the recorded messages will be played back."
you,try,something,carry,caution," {CAUTION:  If you try to carry something on top of your vehicle that is longer or wider than the luggage carrier — like paneling, plywood, a mattress and so forth — the wind can catch it as you drive along."
wind,catch,it,catch,caution," {CAUTION:  If you try to carry something on top of your vehicle that is longer or wider than the luggage carrier — like paneling, plywood, a mattress and so forth — the wind can catch it as you drive along."
you,lose,control,lose,cause,This can cause you to lose control.
,,what,carry,tear,"What you are carrying could be violently torn off, and this could cause you or other drivers to have a collision, and of course damage your vehicle."
you,have,collision,have,tear,"What you are carrying could be violently torn off, and this could cause you or other drivers to have a collision, and of course damage your vehicle."
you,have,vehicle,damage,tear,"What you are carrying could be violently torn off, and this could cause you or other drivers to have a collision, and of course damage your vehicle."
you,be,something,carry,be,You may be able to carry something like this inside.
,,something,carry,carry,"But, never carry something longer or wider than the luggage carrier on top of your vehicle."
you,load,thing,load,allow, A luggage carrier allows you to load things on top of your vehicle.
carrier,have,rail,have,have,"The luggage carrier has side rails attached to the roof, sliding crossrails (if equipped) and places to use for tying things down."
carrier,have,thing,tie,have,"The luggage carrier has side rails attached to the roof, sliding crossrails (if equipped) and places to use for tying things down."
you,load,thing,load,let,"These let you load some other things on top of your vehicle, as long as they are not wider or longer than the luggage carrier."
,,crossrail,slide,pull," To slide the crossrails to where you want them, pull up on the lever on each side of the crossrail."
you,want,they,want,pull," To slide the crossrails to where you want them, pull up on the lever on each side of the crossrail."
this,release,crossrail,release,release,This will release the crossrail and allow you to slide it.
you,slide,it,slide,release,This will release the crossrail and allow you to slide it.
you,want,it,want,press,"When the crossrail is where you want it, press down on the levers to lock it into place."
you,want,it,lock,press,"When the crossrail is where you want it, press down on the levers to lock it into place."
load,damage,cargo,load,notice,Notice: Loading cargo on the luggage carrier that weighs more than 220 lbs (100 kg) or hangs over the rear or sides of the vehicle may damage your vehicle.
that,weigh,lb,weigh,notice,Notice: Loading cargo on the luggage carrier that weighs more than 220 lbs (100 kg) or hangs over the rear or sides of the vehicle may damage your vehicle.
that,weigh,vehicle,damage,notice,Notice: Loading cargo on the luggage carrier that weighs more than 220 lbs (100 kg) or hangs over the rear or sides of the vehicle may damage your vehicle.
,,cargo,load,load,"Load cargo so that it rests on the slats as far forward as possible and against the side rails, making sure to fasten it securely."
it,rest,it,fasten,load,"Load cargo so that it rests on the slats as far forward as possible and against the side rails, making sure to fasten it securely."
,,capacity,exceed,exceed, Don’t exceed the maximum vehicle capacity when loading your vehicle.
,,vehicle,load,exceed, Don’t exceed the maximum vehicle capacity when loading your vehicle.
,,vehicle,load,see,"For more information on vehicle capacity and loading, see Loading Your Vehicle on page 4-49."
,,damage,prevent,place," To prevent damage or loss of cargo as you’re driving, check now and then to make sure the luggage carrier is locked and cargo is still securely fastened.  When the luggage carrier is not in use, place the crossrails at the following positions for wind noise reduction."
carrier,be,crossrail,place,place," To prevent damage or loss of cargo as you’re driving, check now and then to make sure the luggage carrier is locked and cargo is still securely fastened.  When the luggage carrier is not in use, place the crossrails at the following positions for wind noise reduction."
,,crossrail,place,place,Place one crossrail at the rear most point of the vehicle and the other crossrail above the opening of the rear door.
vehicle,have,feature,have,have, 2-48  Rear Storage Area  Rear Compartment Storage Panel/Cover  Your vehicle may have this feature.
,,corner,insert,insert,Insert the front corners of the panel into the top guides and slide the panel forward.
,,panel,slide,insert,Insert the front corners of the panel into the top guides and slide the panel forward.
,,it,lock,press,Press down on the back of the panel to lock it in place.
you,be,thing,carry,caution,"{CAUTION:  If you were to carry things on the adjustable panel when it is in the upper (cargo cover) position, then during a sudden vehicle movement or a crash those things could be thrown around in the vehicle."
it,be,cargo,secure,secure,"When it is in the upper position, always secure any cargo on the ﬂoor beneath the panel/cover."
,,carpet,soil,instal,"To prevent soiling the carpet, the panel may be installed either side up."
,,corner,insert,insert,Insert the front corners of the panel into the lower guides and slide the panel forward.
,,panel,slide,insert,Insert the front corners of the panel into the lower guides and slide the panel forward.
,,it,lock,press,Press down on the back of the panel to lock it in place.
,,corner,insert,insert,Insert the front corners of the panel into the vertical guides behind the seatbacks and slide the panel down.
,,panel,slide,insert,Insert the front corners of the panel into the vertical guides behind the seatbacks and slide the panel down.
load,cause,object,load,notice,Notice: Loading objects that weigh over 200 lbs (90 kg) onto the panel may cause damage.
that,weigh,lb,load,notice,Notice: Loading objects that weigh over 200 lbs (90 kg) onto the panel may cause damage.
that,weigh,damage,cause,notice,Notice: Loading objects that weigh over 200 lbs (90 kg) onto the panel may cause damage.
,,object,load,load,Do not load heavy objects on the panel.
you,use,panel,use,damage," If you use the panel as a barrier for large  Notice: objects in the cargo area while the seatbacks are folded down, the panel may be damaged."
,,panel,use,use,Do not use the panel as a barrier between large objects in the rear cargo area and the seating area.
vehicle,have,feature,have,have,Your vehicle may have this feature.
net,help,item,keep,help,A convenience net in the rear of your vehicle helps keep small items in place during sharp turns or quick stops and starts.
net,design,item,retain,design,The net is not designed to retain these items during off-road use.
,,net,use,do," To use the convenience net, do the following:  1. Attach the upper loops to the retainers on both  sides of the liftgate opening."
,,follow,do,do," To use the convenience net, do the following:  1. Attach the upper loops to the retainers on both  sides of the liftgate opening."
,,loop,attach,do," To use the convenience net, do the following:  1. Attach the upper loops to the retainers on both  sides of the liftgate opening."
,,hook,attach,attach, 2. Attach the lower hooks to the rear cargo tie downs  on the ﬂoor.
,,item,secure,be,Be sure to secure any such item properly.
vehicle,have,area,have,have, Your vehicle has a rear cargo area with a removeable storage lid.
,,lid,remove,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,follow,do,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,release,press,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,handle,lift,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,lid,raise,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,it,unhook,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,lid,pull,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,it,release,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,lid,reinstall,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
,,step,reverse,do," To remove the rear ﬂoor storage lid, do the following:  1. Press the latch release and lift up the latch handle.  2. Raise the lid slightly to unhook it.  3. Pull the lid toward you to release it from the forward  mounting tabs.  To reinstall the rear ﬂoor storage lid, reverse the previous steps."
lid,be,pressure,apply,make,Make sure the lid is secure by applying slight pressure to the latch until you hear it click.
vehicle,have,cover,have,use,"If your vehicle has a cargo cover, you can use it to cover items in the cargo area of your vehicle."
you,use,it,use,use,"If your vehicle has a cargo cover, you can use it to cover items in the cargo area of your vehicle."
you,use,item,cover,use,"If your vehicle has a cargo cover, you can use it to cover items in the cargo area of your vehicle."
,,cover,install,do,"To install the cargo cover, do the following:  1. Align the endcap with the pocket in the trim panel  located behind the rear seat.  "
,,follow,do,do,"To install the cargo cover, do the following:  1. Align the endcap with the pocket in the trim panel  located behind the rear seat.  "
,,endcap,align,do,"To install the cargo cover, do the following:  1. Align the endcap with the pocket in the trim panel  located behind the rear seat.  "
,,endcap,compress,compress,"2. Compress the opposite endcap, align it with the pocket located on the opposite side of the trim panel and release."
,,it,align,compress,"2. Compress the opposite endcap, align it with the pocket located on the opposite side of the trim panel and release."
,,handle,grasp,grasp,3. Grasp the handle and unroll the cover.
,,cover,unroll,grasp,3. Grasp the handle and unroll the cover.
,,post,latch,latch,Latch the posts into the sockets on the inside of the vehicle to secure it.
,,it,secure,latch,Latch the posts into the sockets on the inside of the vehicle to secure it.
,,cover,remove,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,follow,do,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,cover,release,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,it,roll,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,endcap,compress,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,it,remove,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
,,cover,remove,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
you,remove,shade,remove,do," To remove the cargo cover, do the following:  1. Release the cover from the latch posts and carefully  roll it back up.  2. Compress one endcap and remove it from the  pocket in the trim panel.  3. Remove the cargo cover from the other endcap so that you can remove the shade from the vehicle.  {CAUTION:  An improperly stored cargo cover could be thrown about the vehicle during a collision or sudden maneuver."
you,remove,cover,remove,store,"If you remove the cover, always store it in the proper storage location."
you,remove,it,store,store,"If you remove the cover, always store it in the proper storage location."
you,put,it,put,be,"When you put it back, always be sure that it is securely reattached."
you,strap,cargo,strap,be, Cargo Tie Downs  There may be cargo tie downs in the rear of your vehicle that allow you to strap cargo in and keep it from moving.
you,strap,it,keep,be, Cargo Tie Downs  There may be cargo tie downs in the rear of your vehicle that allow you to strap cargo in and keep it from moving.
,,sunroof,equip,, 2-52  Sunroof Your vehicle may be equipped with a power sliding sunroof.
,,sunroof,close,be,"To open or close your sunroof, the ignition must be on or Retained Accessory Power (RAP) must be active."
,,back,release,press,Press and release the back of the button in the overhead console to open the sunroof.
,,sunroof,open,press,Press and release the back of the button in the overhead console to open the sunroof.
,,front,press,press,Press the front of the button to close the sunroof.
,,sunroof,close,press,Press the front of the button to close the sunroof.
sunroof,close,side,press,press,"Once the sunroof is closed, press the forward side of the button to open the sunroof to the vent position."
sunroof,close,sunroof,open,press,"Once the sunroof is closed, press the forward side of the button to open the sunroof to the vent position."
sunroof,equip,which,pull,have,The sunroof is also equipped with a sunshade which you can pull forward to block sun rays.  Vehicle Personalization  Memory Seat  Your vehicle may have this feature.
you,pull,ray,block,have,The sunroof is also equipped with a sunshade which you can pull forward to block sun rays.  Vehicle Personalization  Memory Seat  Your vehicle may have this feature.
vehicle,have,feature,have,have,The sunroof is also equipped with a sunshade which you can pull forward to block sun rays.  Vehicle Personalization  Memory Seat  Your vehicle may have this feature.
control,locate,setting,recall,locate,"The controls are located on the driver’s door, and are used to program and recall memory settings for the driver’s seating positions, outside mirror positions and adjustable pedals (if equipped).  Adjust the driver’s seat, including the seatback recliner and lumbar, both of the outside mirrors, and the adjustable pedals to the desired position."
control,locate,seat,adjust,locate,"The controls are located on the driver’s door, and are used to program and recall memory settings for the driver’s seating positions, outside mirror positions and adjustable pedals (if equipped).  Adjust the driver’s seat, including the seatback recliner and lumbar, both of the outside mirrors, and the adjustable pedals to the desired position."
,,button,hold,press,Then press and hold button 1 (for driver 1) for three seconds.
position,program,procedure,repeat,program," 2-53  A second mirror position, seating position and adjustable pedal position can be programmed by repeating the procedure with a second driver and pressing button 2 for three seconds."
position,program,button,press,program," 2-53  A second mirror position, seating position and adjustable pedal position can be programmed by repeating the procedure with a second driver and pressing button 2 for three seconds."
you,use,button,use,recall,"If you use the unlock button on the remote keyless entry transmitter to enter your vehicle, the preset driver’s seat, mirror positions and adjustable pedal position will be recalled if programmed to do so through the Driver Information Center (DIC)."
you,use,vehicle,enter,recall,"If you use the unlock button on the remote keyless entry transmitter to enter your vehicle, the preset driver’s seat, mirror positions and adjustable pedal position will be recalled if programmed to do so through the Driver Information Center (DIC)."
position,recall,key,place,recall," The seat positions, mirror positions and adjustable pedal positions can also be recalled by placing the key in the ignition if programmed to do so through the Driver Information Center (DIC)."
,,Operation,see,see,See DIC Operation and Displays on page 3-51.
